GEOID,NAME,day1,day2,day3,day4,day5,day6,day7
13027,Brooks,100,103,106,106,106,107,107
31095,Jefferson,97,100,97,91,92,93,92
51683,Manassas,109,111,110,106,99,94,91
56021,Laramie,85,85,83,86,86,84,85
13135,Gwinnett,108,105,104,104,99,100,98
20001,Allen,100,102,105,101,98,101,99
27065,Kanabec,88,88,79,84,88,89,86
28107,Panola,110,110,109,110,108,108,108
31185,York,96,101,95,91,92,92,93
42063,Indiana,107,107,103,95,90,87,88
48327,Menard,97,99,99,96,94,96,98
29173,Ralls,104,103,102,97,95,95,95
48151,Fisher,100,100,102,98,97,98,100
72081,Lares,,,,,,,
51183,Sussex,109,111,110,109,104,98,95
47183,Weakley,113,114,110,112,106,103,102
26105,Mason,95,90,90,87,87,90,86
48159,Franklin,106,105,105,102,103,105,105
08075,Logan,89,89,87,88,89,88,87
22119,Webster,104,102,102,103,105,105,105
31045,Dawes,89,88,86,91,90,89,89
51139,Page,108,106,105,101,97,91,90
13161,Jeff Davis,98,102,104,105,105,107,105
18117,Orange,108,103,106,103,95,93,93
27015,Brown,91,93,87,88,92,95,90
31079,Hall,94,100,92,88,89,90,90
21223,Trimble,110,107,109,105,96,94,93
55113,Sawyer,89,87,80,81,86,87,84
41027,Hood River,76,82,82,84,86,83,83
21169,Metcalfe,105,102,103,103,97,95,92
26007,Alpena,90,88,77,77,82,87,84
19095,Iowa,101,102,99,91,91,93,92
13061,Clay,101,101,101,102,101,102,101
18177,Wayne,102,103,99,94,90,88,89
29227,Worth,98,102,99,92,92,94,94
31157,Scotts Bluff,89,88,86,88,88,87,87
39107,Mercer,103,102,99,93,87,88,89
01015,Calhoun,111,109,107,106,102,102,99
37095,Hyde,98,106,109,107,106,103,95
19019,Buchanan,100,99,94,88,89,91,90
27121,Pope,91,91,85,88,92,91,87
21181,Nicholas,106,104,105,101,94,91,91
42053,Forest,106,105,95,89,84,84,86
46077,Kingsbury,96,92,88,90,92,91,88
48375,Potter,97,99,99,91,93,94,95
48413,Schleicher,95,97,98,94,93,93,95
51580,Covington,101,99,103,97,96,92,89
54063,Monroe,99,97,103,94,96,92,88
48499,Wood,105,105,105,102,105,105,106
18041,Fayette,103,103,101,97,90,89,90
28023,Clarke,106,106,105,106,103,105,105
04023,Santa Cruz,96,97,96,100,101,102,101
17007,Boone,101,98,92,88,85,89,90
28039,George,106,106,106,106,105,108,109
37113,Macon,99,95,95,94,91,90,88
40025,Cimarron,94,97,95,89,90,91,92
01043,Cullman,107,105,104,105,102,102,99
39065,Hardin,102,102,98,92,87,87,88
20105,Lincoln,99,103,100,94,93,94,95
22059,LaSalle,106,105,106,109,106,106,108
36123,Yates,107,102,90,89,85,87,89
21035,Calloway,110,112,109,107,105,103,100
48045,Briscoe,97,99,101,96,97,97,100
48265,Kerr,97,101,100,98,98,97,98
72067,Hormigueros,,,,,,,
20009,Barton,97,102,98,93,91,92,94
16075,Payette,83,87,93,93,93,93,92
48269,King,99,100,102,98,98,99,101
39161,Van Wert,107,105,101,95,88,89,90
46125,Turner,95,97,90,90,92,94,91
19129,Mills,98,102,98,93,94,95,95
26001,Alcona,92,91,78,78,82,86,84
48165,Gaines,93,95,96,97,92,92,94
13201,Miller,99,101,102,105,102,103,105
18013,Brown,105,106,102,99,93,91,91
19023,Butler,95,95,90,87,89,91,90
40043,Dewey,99,101,104,97,95,96,99
31151,Saline,96,99,96,90,92,92,92
37069,Franklin,105,108,108,107,106,102,98
21219,Todd,109,111,105,103,101,98,98
48393,Roberts,97,101,101,93,95,96,98
54031,Hardy,109,107,105,102,96,92,91
48399,Runnels,98,100,100,98,96,97,99
48301,Loving,97,100,99,97,94,95,97
31089,Holt,97,99,93,94,95,95,95
17175,Stark,101,101,99,88,87,88,90
48193,Hamilton,99,99,101,100,100,101,104
16009,Benewah,75,80,81,80,85,87,83
19109,Kossuth,90,97,91,90,92,94,91
28141,Tishomingo,110,109,106,107,103,102,101
31131,Otoe,98,101,98,93,93,94,95
46051,Grant,91,91,85,88,92,91,87
16067,Minidoka,81,84,88,89,88,88,88
19157,Poweshiek,101,101,98,91,91,92,92
22001,Acadia,100,103,101,105,103,103,106
37079,Greene,103,108,109,106,106,104,99
42011,Berks,107,108,103,98,90,87,84
51600,Fairfax,105,109,107,102,95,89,88
48335,Mitchell,99,100,102,100,95,97,99
72073,Jayuya,,,,,,,
51790,Staunton,104,102,102,97,93,87,87
20171,Scott,98,98,94,89,89,91,92
31001,Adams,97,102,96,89,90,93,91
45053,Jasper,99,103,105,109,107,109,109
38047,Logan,84,84,84,89,90,86,85
29081,Harrison,98,101,99,94,93,93,94
20157,Republic,99,102,98,92,91,94,94
28087,Lowndes,109,109,107,109,106,105,105
51590,Danville,109,108,109,100,103,98,93
51650,Hampton,108,110,111,110,106,98,95
05029,Conway,113,109,109,109,107,108,107
17139,Moultrie,106,105,102,95,90,90,91
19105,Jones,102,101,97,89,90,91,91
27097,Morrison,90,87,80,84,88,87,85
29151,Osage,105,105,104,101,98,97,99
40061,Haskell,106,105,105,103,103,105,105
46057,Hamlin,95,91,87,89,92,91,88
54007,Braxton,105,104,102,102,98,92,91
05111,Poinsett,110,109,107,110,106,105,105
21137,Lincoln,102,101,103,100,94,91,90
17027,Clinton,107,109,106,103,100,98,99
37147,Pitt,103,109,110,108,107,105,99
29207,Stoddard,107,106,103,102,99,98,98
17045,Edgar,106,105,102,95,90,91,91
21191,Pendleton,106,106,105,101,97,93,94
36073,Orleans,103,103,94,90,89,91,91
38011,Bowman,84,82,85,90,88,87,86
01117,Shelby,110,107,106,107,105,103,103
13217,Newton,108,105,105,105,101,101,100
39157,Tuscarawas,104,105,101,94,89,87,87
19135,Monroe,102,102,100,93,92,93,94
18113,Noble,103,101,97,90,85,86,88
29141,Morgan,107,106,106,103,100,99,100
36067,Onondaga,107,102,89,89,87,89,91
48493,Wilson,100,105,103,101,100,101,103
46087,McCook,96,96,90,91,93,94,91
48233,Hutchinson,96,100,101,93,94,95,97
72019,Barranquitas,,,,,,,
51840,Winchester,107,105,105,99,92,87,87
40105,Nowata,105,103,107,101,101,101,103
31129,Nuckolls,99,103,99,92,91,94,94
48325,Medina,101,104,105,100,100,100,102
17005,Bond,107,107,105,100,97,95,97
45069,Marlboro,108,105,105,105,106,105,102
39069,Henry,106,104,98,92,87,87,89
21007,Ballard,111,112,107,105,102,99,99
46111,Sanborn,96,94,90,91,93,93,90
48009,Archer,104,104,106,98,99,100,101
21063,Elliott,105,105,101,100,94,90,90
38065,Oliver,84,83,85,92,90,88,87
37063,Durham,107,109,109,108,106,103,98
19165,Shelby,96,99,95,91,92,93,93
19175,Union,97,99,97,91,92,92,92
47065,Hamilton,111,110,107,102,103,100,98
55087,Outagamie,93,90,80,79,84,88,87
17165,Saline,107,107,105,103,99,95,96
47109,McNairy,109,110,106,109,103,102,102
31103,Keya Paha,93,94,90,91,93,91,91
31113,Logan,91,90,87,87,88,88,88
40053,Grant,101,104,105,101,99,99,102
46007,Bennett,87,87,85,89,89,89,87
48195,Hansford,97,99,98,91,92,93,95
19103,Johnson,103,102,99,91,91,92,92
17081,Jefferson,109,107,105,101,96,95,96
47015,Cannon,110,110,106,103,101,98,95
18085,Kosciusko,105,102,98,91,85,86,88
20059,Franklin,100,102,105,97,98,97,97
27153,Todd,88,88,79,84,88,87,84
38077,Richland,89,91,86,90,94,90,88
23015,Lincoln,104,110,97,87,79,82,80
20057,Ford,98,101,98,91,89,90,92
17145,Perry,109,109,106,103,98,96,97
17093,Kendall,102,103,97,94,89,91,92
29099,Jefferson,107,107,109,105,100,100,99
29105,Laclede,105,101,103,98,97,96,96
26039,Crawford,88,87,80,77,82,86,82
29127,Marion,104,103,103,97,96,95,96
42093,Montour,111,110,103,94,89,87,83
26143,Roscommon,94,91,80,78,83,86,84
12009,Brevard,100,103,106,106,108,109,109
31119,Madison,92,95,90,89,89,90,90
31135,Perkins,94,91,90,87,89,89,90
35021,Harding,93,94,95,89,90,92,92
51173,Smyth,99,96,100,93,93,89,86
27085,McLeod,90,89,80,85,89,91,86
48155,Foard,104,102,104,99,99,99,100
31167,Stanton,92,95,90,89,90,91,91
31179,Wayne,93,97,91,90,91,92,91
38045,LaMoure,88,88,85,91,94,90,86
39089,Licking,105,105,103,96,91,90,90
05053,Grant,107,104,103,105,103,103,102
47111,Macon,111,114,109,105,102,99,97
20107,Linn,101,104,106,100,98,98,98
20061,Geary,99,102,101,94,95,96,96
19041,Clay,94,96,90,88,90,91,90
20169,Saline,99,104,102,96,94,95,96
20037,Crawford,104,105,107,102,101,101,99
48095,Concho,99,100,101,98,97,98,99
48107,Crosby,94,96,97,93,93,95,97
26043,Dickinson,93,88,82,77,83,86,83
37163,Sampson,104,106,108,108,108,107,104
48117,Deaf Smith,93,94,95,90,89,90,92
26067,Ionia,99,96,90,85,86,90,90
21141,Logan,106,105,107,106,102,98,97
48127,Dimmit,103,106,106,102,101,101,102
27055,Houston,103,99,93,87,90,94,92
51025,Brunswick,109,110,109,108,105,100,97
27039,Dodge,92,88,80,80,85,88,87
27047,Freeborn,79,92,85,85,88,90,88
26149,St. Joseph,102,99,93,87,84,85,87
17051,Fayette,106,105,105,100,97,97,96
17055,Franklin,107,109,105,102,97,96,97
48131,Duval,105,106,105,102,102,104,104
21025,Breathitt,105,104,103,99,95,92,90
27041,Douglas,88,89,83,86,89,88,86
46067,Hutchinson,97,97,91,92,93,94,91
48023,Baylor,101,103,105,98,99,100,101
46047,Fall River,89,87,86,93,91,90,87
46097,Miner,96,95,90,91,92,93,90
25003,Berkshire,106,103,97,85,80,83,85
27073,Lac qui Parle,95,92,87,89,92,92,89
44003,Kent,110,110,104,90,79,83,83
51011,Appomattox,110,108,112,106,103,98,93
31003,Antelope,95,96,92,91,91,93,91
56005,Campbell,90,86,87,95,90,89,87
45061,Lee,106,106,106,105,105,105,102
48047,Brooks,106,107,106,105,105,106,106
51013,Arlington,108,112,109,105,99,91,90
51065,Fluvanna,111,109,108,107,102,96,94
53021,Franklin,81,87,89,87,92,93,89
53059,Skamania,74,80,81,83,85,82,81
51109,Louisa,111,111,111,107,102,95,93
51115,Mathews,109,111,110,109,106,99,96
48191,Hall,97,100,102,97,97,98,101
31023,Butler,96,101,95,91,92,94,94
05065,Izard,109,104,104,105,103,102,102
38043,Kidder,84,84,84,90,89,86,85
37077,Granville,104,108,106,105,104,100,96
37109,Lincoln,110,108,106,104,102,99,96
51660,Harrisonburg,104,103,102,98,93,89,87
51690,Martinsville,105,105,104,96,98,92,90
19001,Adair,97,101,98,92,92,94,94
39073,Hocking,103,105,102,98,94,91,91
13243,Randolph,102,101,101,103,101,102,102
48507,Zavala,102,106,106,101,100,100,102
48011,Armstrong,97,98,99,93,94,95,97
13265,Taliaferro,108,104,104,105,102,101,101
19035,Cherokee,95,98,91,90,91,92,91
05025,Cleveland,106,104,104,105,103,103,103
08091,Ouray,83,84,84,84,83,84,84
05147,Woodruff,115,110,109,110,109,108,107
48429,Stephens,100,101,103,101,100,101,103
27109,Olmsted,95,90,85,83,86,90,87
13301,Warren,104,103,103,104,101,101,99
48359,Oldham,96,98,98,90,92,93,94
29089,Howard,105,107,107,102,99,98,99
