GEOID,NAME,day1,day2,day3,day4,day5,day6,day7
13027,Brooks,98,97,95,97,97,96,97
31095,Jefferson,87,88,89,91,93,92,91
51683,Manassas,101,97,87,85,88,91,94
56021,Laramie,87,93,93,92,90,91,95
13135,Gwinnett,98,96,94,92,92,93,93
20001,Allen,92,87,89,90,93,95,94
27065,Kanabec,84,84,88,86,82,81,82
28107,Panola,94,93,91,91,92,92,93
31185,York,87,87,89,90,91,89,89
42063,Indiana,95,87,83,85,86,87,86
48327,Menard,99,99,99,97,99,100,99
29173,Ralls,91,87,86,88,91,91,89
48151,Fisher,103,104,102,102,104,106,105
72081,Lares,,,,,,,
51183,Sussex,102,100,94,92,91,95,97
47183,Weakley,96,93,90,91,92,93,93
26105,Mason,85,87,88,87,87,86,84
48159,Franklin,95,95,94,94,96,98,98
08075,Logan,91,94,97,96,94,94,97
22119,Webster,93,94,93,93,94,96,96
31045,Dawes,90,98,97,95,93,95,97
51139,Page,99,94,86,84,86,89,91
13161,Jeff Davis,98,99,97,98,97,97,97
18117,Orange,90,87,86,87,88,89,87
27015,Brown,86,85,88,89,87,83,85
31079,Hall,87,87,90,90,91,88,89
21223,Trimble,91,89,87,88,89,89,87
55113,Sawyer,85,83,86,87,83,80,83
41027,Hood River,84,88,91,86,80,82,84
21169,Metcalfe,90,88,87,87,88,89,88
26007,Alpena,79,79,83,89,90,86,82
19095,Iowa,85,85,86,88,90,87,86
13061,Clay,95,95,93,92,92,92,92
18177,Wayne,90,84,82,84,86,86,84
29227,Worth,84,85,85,87,90,87,87
31157,Scotts Bluff,90,96,96,95,93,94,97
39107,Mercer,90,83,82,85,87,88,84
01015,Calhoun,96,95,93,92,92,92,92
37095,Hyde,98,95,93,91,92,94,97
19019,Buchanan,84,84,85,86,88,85,84
27121,Pope,85,86,88,87,83,82,84
21181,Nicholas,93,89,87,87,88,89,88
42053,Forest,91,83,81,84,86,87,85
46077,Kingsbury,87,89,91,91,86,85,87
48375,Potter,104,98,99,102,105,106,104
48413,Schleicher,97,98,97,96,98,99,98
51580,Covington,98,91,87,88,88,90,90
54063,Monroe,97,88,87,86,87,89,88
48499,Wood,97,97,97,96,98,99,100
18041,Fayette,91,85,84,85,87,87,85
28023,Clarke,96,94,92,92,93,93,94
04023,Santa Cruz,102,106,108,108,108,105,102
17007,Boone,82,79,80,85,86,85,83
28039,George,96,93,92,93,94,95,95
37113,Macon,94,90,89,88,88,88,88
40025,Cimarron,97,94,97,99,101,100,100
01043,Cullman,93,92,90,90,90,90,91
39065,Hardin,90,83,81,84,87,88,84
20105,Lincoln,87,90,93,92,96,95,95
22059,LaSalle,95,93,93,94,95,96,97
36123,Yates,85,81,78,82,86,89,87
21035,Calloway,90,91,89,90,90,92,91
48045,Briscoe,104,100,98,101,105,106,104
48265,Kerr,97,97,97,97,97,97,97
72067,Hormigueros,,,,,,,
20009,Barton,91,89,93,92,96,95,95
16075,Payette,98,99,95,98,96,92,94
48269,King,104,104,100,102,104,106,105
39161,Van Wert,91,84,83,86,88,88,86
46125,Turner,88,89,91,92,90,87,89
19129,Mills,85,87,87,89,91,89,88
26001,Alcona,79,79,83,89,90,87,83
48165,Gaines,100,100,98,99,101,102,101
13201,Miller,96,95,93,93,94,94,93
18013,Brown,90,87,85,87,88,89,86
19023,Butler,85,83,84,86,86,83,83
40043,Dewey,100,95,95,97,101,102,101
31151,Saline,87,88,88,90,92,90,90
37069,Franklin,101,99,94,92,91,94,97
21219,Todd,90,90,88,88,89,91,90
48393,Roberts,102,96,97,99,103,104,103
54031,Hardy,99,92,86,85,87,90,91
48399,Runnels,101,101,100,99,101,102,102
48301,Loving,103,102,100,101,102,105,104
31089,Holt,92,92,96,96,92,91,92
17175,Stark,85,84,84,85,88,88,84
48193,Hamilton,99,100,100,98,98,98,98
16009,Benewah,83,84,89,92,82,79,84
19109,Kossuth,85,85,86,88,88,84,84
28141,Tishomingo,95,93,91,91,91,92,92
31131,Otoe,86,87,87,89,92,89,89
46051,Grant,88,87,91,90,83,81,86
16067,Minidoka,94,97,93,94,95,91,93
19157,Poweshiek,86,85,86,88,90,87,86
22001,Acadia,92,90,90,90,92,93,93
37079,Greene,101,99,94,93,93,95,97
42011,Berks,100,90,79,83,86,90,91
51600,Fairfax,99,95,84,82,85,89,91
48335,Mitchell,103,104,101,101,103,105,104
72073,Jayuya,,,,,,,
51790,Staunton,98,93,86,84,85,88,90
20171,Scott,90,90,93,94,98,96,97
31001,Adams,89,89,90,92,93,91,91
45053,Jasper,97,98,97,98,97,97,97
38047,Logan,85,91,91,84,79,83,86
29081,Harrison,84,86,86,88,90,89,88
20157,Republic,91,89,90,93,94,93,93
28087,Lowndes,96,94,93,93,93,93,94
51590,Danville,103,97,94,92,91,94,96
51650,Hampton,100,99,93,91,90,94,98
05029,Conway,94,95,92,94,95,97,97
17139,Moultrie,89,84,84,85,87,89,85
19105,Jones,84,85,85,87,88,86,85
27097,Morrison,85,84,87,86,81,81,83
29151,Osage,94,90,89,90,93,94,92
40061,Haskell,97,93,92,93,96,99,97
46057,Hamlin,87,88,91,90,84,82,86
54007,Braxton,98,90,86,85,86,88,86
05111,Poinsett,95,93,90,90,93,95,94
21137,Lincoln,90,88,87,87,87,88,87
17027,Clinton,93,89,87,88,90,92,90
37147,Pitt,101,99,93,93,93,95,98
29207,Stoddard,93,91,88,89,90,92,91
17045,Edgar,90,84,84,85,88,89,85
21191,Pendleton,94,88,86,87,89,90,87
36073,Orleans,82,85,86,85,91,92,91
38011,Bowman,89,97,90,87,85,89,90
01117,Shelby,97,95,93,92,93,93,93
13217,Newton,99,96,95,93,93,94,94
39157,Tuscarawas,93,85,83,85,86,86,85
19135,Monroe,86,86,86,88,91,89,87
18113,Noble,88,82,82,84,86,86,83
29141,Morgan,91,89,89,90,93,94,92
36067,Onondaga,83,85,80,85,88,91,89
48493,Wilson,97,97,98,98,99,99,97
46087,McCook,89,90,92,93,89,87,89
48233,Hutchinson,104,98,99,101,105,106,104
72019,Barranquitas,,,,,,,
51840,Winchester,99,92,82,81,85,89,90
40105,Nowata,96,87,90,92,95,99,96
31129,Nuckolls,90,89,91,92,94,93,93
48325,Medina,99,99,99,99,100,100,99
17005,Bond,92,87,86,87,89,90,88
45069,Marlboro,101,99,98,97,96,97,99
39069,Henry,91,83,83,85,88,88,85
21007,Ballard,92,90,88,89,90,92,90
46111,Sanborn,90,91,94,94,89,87,90
48009,Archer,101,101,98,98,101,102,101
21063,Elliott,94,89,86,86,87,87,86
38065,Oliver,87,94,88,84,80,85,87
37063,Durham,103,101,97,94,93,96,99
19165,Shelby,86,86,87,89,89,87,86
19175,Union,84,86,86,88,90,88,86
47065,Hamilton,96,93,92,90,90,91,90
55087,Outagamie,82,82,84,87,87,83,82
17165,Saline,92,90,88,89,91,93,91
47109,McNairy,95,93,91,91,91,93,92
31103,Keya Paha,90,90,93,93,90,89,91
31113,Logan,88,88,90,90,88,87,88
40053,Grant,99,91,94,96,101,103,101
