place_id,name,name_display,name_state,state,lat,lon,day1,day2,day3,day4,day5,day6,day7
0100100,Abanda CDP,Abanda,"Abanda, AL",AL,33.091627,-85.527029,91,88,88,89,89,88,87
0100124,Abbeville city,Abbeville,"Abbeville, AL",AL,31.564706,-85.259121,94,91,91,91,92,92,91
0100460,Adamsville city,Adamsville,"Adamsville, AL",AL,33.602315,-86.971527,92,88,89,90,91,90,88
0100484,Addison town,Addison,"Addison, AL",AL,34.202681,-87.178004,90,87,88,89,89,89,87
0100676,Akron town,Akron,"Akron, AL",AL,32.879066,-87.740899,93,90,91,91,92,92,90
0100820,Alabaster city,Alabaster,"Alabaster, AL",AL,33.214355,-86.82308,94,90,91,92,92,92,90
0100988,Albertville city,Albertville,"Albertville, AL",AL,34.26313,-86.21066,90,87,87,88,88,88,86
0101132,Alexander City city,Alexander City,"Alexander City, AL",AL,32.916719,-85.940589,92,89,89,90,90,90,88
0101180,Alexandria CDP,Alexandria,"Alexandria, AL",AL,33.760819,-85.872008,93,90,89,90,91,90,89
0101228,Aliceville city,Aliceville,"Aliceville, AL",AL,33.123706,-88.159344,93,90,91,92,92,92,90
0101396,Allgood town,Allgood,"Allgood, AL",AL,33.907623,-86.516109,91,87,87,88,89,89,87
0101660,Altoona town,Altoona,"Altoona, AL",AL,34.040014,-86.305179,90,87,87,88,89,88,87
0101708,Andalusia city,Andalusia,"Andalusia, AL",AL,31.309436,-86.478031,95,92,91,92,93,93,92
0101756,Anderson town,Anderson,"Anderson, AL",AL,34.915675,-87.274274,90,87,88,89,90,89,87
0101852,Anniston city,Anniston,"Anniston, AL",AL,33.673469,-85.810891,93,89,89,90,90,90,88
0102116,Arab city,Arab,"Arab, AL",AL,34.332387,-86.501167,90,86,87,88,88,88,86
0102260,Ardmore town,Ardmore,"Ardmore, AL",AL,34.987838,-86.829022,90,87,87,88,89,88,87
0102320,Argo city,Argo,"Argo, AL",AL,33.691018,-86.505281,90,87,87,88,89,88,87
0102428,Ariton town,Ariton,"Ariton, AL",AL,31.597772,-85.713061,94,92,91,92,92,92,91
0102500,Arley town,Arley,"Arley, AL",AL,34.076234,-87.217831,90,87,88,89,89,89,87
0102836,Ashford city,Ashford,"Ashford, AL",AL,31.185284,-85.236236,95,92,92,92,93,93,92
0102860,Ashland town,Ashland,"Ashland, AL",AL,33.269892,-85.833706,91,87,87,88,88,88,86
0102908,Ashville city,Ashville,"Ashville, AL",AL,33.835197,-86.270015,92,89,89,90,91,91,89
0102956,Athens city,Athens,"Athens, AL",AL,34.779021,-86.950799,92,88,89,90,91,90,88
0103004,Atmore city,Atmore,"Atmore, AL",AL,31.124067,-87.457798,92,90,90,91,91,91,91
0103028,Attalla city,Attalla,"Attalla, AL",AL,33.986189,-86.121037,92,89,89,90,90,90,89
0103076,Auburn city,Auburn,"Auburn, AL",AL,32.607806,-85.494746,93,90,89,90,90,90,89
0103220,Autaugaville town,Autaugaville,"Autaugaville, AL",AL,32.432563,-86.658752,94,91,91,92,92,92,91
0103364,Avon town,Avon,"Avon, AL",AL,31.179727,-85.279211,95,93,92,93,94,93,92
0103508,Axis CDP,Axis,"Axis, AL",AL,30.922171,-88.02262,95,93,93,94,94,95,94
0103556,Babbie town,Babbie,"Babbie, AL",AL,31.302083,-86.319437,95,92,91,92,92,92,92
0103676,Baileyton town,Baileyton,"Baileyton, AL",AL,34.260858,-86.608788,89,86,86,87,88,87,86
0103724,Bakerhill town,Bakerhill,"Bakerhill, AL",AL,31.776923,-85.295408,94,92,91,92,92,92,91
0103820,Ballplay CDP,Ballplay,"Ballplay, AL",AL,34.023047,-85.801478,95,92,91,92,93,92,91
0103940,Banks town,Banks,"Banks, AL",AL,31.813264,-85.836434,92,90,89,90,91,90,90
0104660,Bay Minette city,Bay Minette,"Bay Minette, AL",AL,30.894436,-87.791306,92,90,90,91,91,92,91
0104684,Bayou La Batre city,Bayou La Batre,"Bayou La Batre, AL",AL,30.407586,-88.263271,92,91,91,92,91,91,91
0104852,Bear Creek town,Bear Creek,"Bear Creek, AL",AL,34.255481,-87.713399,89,86,86,88,88,88,86
0104900,Beatrice town,Beatrice,"Beatrice, AL",AL,31.733309,-87.209046,91,89,89,90,90,90,89
0104948,Beaverton town,Beaverton,"Beaverton, AL",AL,33.935411,-88.021778,93,90,91,92,93,92,91
0105140,Belgreen CDP,Belgreen,"Belgreen, AL",AL,34.47454,-87.861678,88,86,86,87,88,87,86
0105164,Belk town,Belk,"Belk, AL",AL,33.651641,-87.92861,92,89,90,91,91,90,89
0105188,Bellamy CDP,Bellamy,"Bellamy, AL",AL,32.463658,-88.131481,92,90,90,91,92,92,90
0105212,Belle Fontaine CDP,Belle Fontaine,"Belle Fontaine, AL",AL,30.489492,-88.10594,93,92,92,93,91,92,92
0105692,Benton town,Benton,"Benton, AL",AL,32.307931,-86.817546,94,91,91,92,92,92,91
0105812,Berlin town,Berlin,"Berlin, AL",AL,34.185005,-86.748955,90,87,87,88,89,88,86
0105932,Berry town,Berry,"Berry, AL",AL,33.666702,-87.609311,93,89,90,91,91,91,89
0105980,Bessemer city,Bessemer,"Bessemer, AL",AL,33.370858,-86.971522,93,89,90,91,92,91,90
0106460,Billingsley town,Billingsley,"Billingsley, AL",AL,32.664711,-86.706713,93,89,89,90,91,91,89
0107000,Birmingham city,Birmingham,"Birmingham, AL",AL,33.527174,-86.797036,93,90,90,91,91,91,89
0107120,Black town,Black,"Black, AL",AL,31.00977,-85.74442,95,92,92,93,93,93,93
0107456,Blountsville town,Blountsville,"Blountsville, AL",AL,34.075838,-86.583918,90,87,87,88,89,88,87
