GEOID,population
01001,61920
01003,267761
01005,24607
01007,22262
01009,60156
01011,9780
01013,18100
01015,115834
01017,34253
01019,26413
01021,47708
01023,11904
01025,22014
01027,14207
01029,15970
01031,56953
01033,59474
01035,10899
01037,10161
01039,37947
01041,13175
01043,94009
01045,49912
01047,35140
01049,74085
01051,91577
01053,36665
01055,103886
01057,15872
01059,32449
01061,27554
01063,7067
01065,15194
01067,18394
01069,110318
01071,54281
01073,665742
01075,13587
01077,97135
01079,33843
01081,189881
01083,122928
01085,9359
01087,18132
01089,433516
01091,18311
01093,29097
01095,103537
01097,411658
01099,18965
01101,225891
01103,126483
01105,7425
01107,18221
01109,33688
01111,23163
01113,58898
01115,98206
01117,238552
01119,11588
01121,81603
01123,40953
01125,241368
01127,65140
01129,14822
01131,9666
01133,23829
02013,3479
02016,5240
02020,287155
02050,18391
02060,847
02063,6553
02066,2666
02068,1616
02070,4483
02090,93972
02100,2068
02105,2271
02110,31609
02122,61951
02130,13549
02150,12387
02158,7932
02164,1357
02170,118666
02180,9830
02185,10582
02188,7095
02195,3394
02198,5777
02220,8319
02230,1104
02240,7270
02275,2007
02282,672
02290,5028
04001,64445
04003,126332
04005,144368
04007,53801
04009,40157
04011,9312
04012,16711
04013,4689558
04015,228102
04017,109946
04019,1074685
04021,539380
04023,50020
04025,252552
04027,224449
05001,15836
05003,17831
05005,42982
05007,332554
05009,38628
05011,9828
05013,4632
05015,29263
05017,9107
05019,20938
05021,14052
05023,25672
05025,7224
05027,21894
05029,21393
05031,116957
05033,62657
05035,46210
05037,16186
05039,6011
05041,9984
05043,17054
05045,133979
05047,17725
05049,12492
05051,99695
05053,18756
05055,47411
05057,19080
05059,33451
05061,12306
05063,38785
05065,14405
05067,16741
05069,62987
05071,26225
05073,5888
05075,16273
05077,8029
05079,12764
05081,11763
05083,21633
05085,76664
05087,18410
05089,17593
05091,42357
05093,37828
05095,6244
05097,8579
05099,7942
05101,7026
05103,21731
05105,10309
05107,14255
05109,9964
05111,22483
05113,19486
05115,64976
05117,7923
05119,404611
05121,18876
05123,21800
05125,133288
05127,9965
05129,7848
05131,130641
05133,15758
05135,18122
05137,12703
05139,36926
05141,16238
05143,271213
05145,80085
05147,5710
05149,19956
06001,1636630
06003,1043
06005,41876
06007,209211
06009,46605
06011,21836
06013,1170070
06015,26410
06017,192323
06019,1035456
06021,28141
06023,131647
06025,181411
06027,18158
06029,927068
06031,154327
06033,67772
06035,28117
06037,9694934
06039,167927
06041,253694
06043,16918
06045,88122
06047,297260
06049,8426
06051,12505
06053,433729
06055,132949
06057,101911
06059,3149507
06061,442081
06063,18583
06065,2544916
06067,1618460
06069,70082
06071,2224091
06073,3282248
06075,826079
06077,823815
06079,282367
06081,743568
06083,442065
06085,1914391
06087,258852
06089,181648
06091,3098
06093,42013
06095,455376
06097,486444
06099,557719
06101,98787
06103,64665
06105,15720
06107,485146
